district_name,state_name
Anantapur,Andhra Pradesh
Chittoor,Andhra Pradesh
East Godavari,Andhra Pradesh
Guntur,Andhra Pradesh
Kadapa,Andhra Pradesh
Krishna,Andhra Pradesh
Kurnool,Andhra Pradesh
Prakasam,Andhra Pradesh
Sri Potti Sriramulu Nellore,Andhra Pradesh
Srikakulam,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
West Godavari,Andhra Pradesh
Anjaw,Arunachal Pradesh
Changlang,Arunachal Pradesh
East Kameng,Arunachal Pradesh
East Siang,Arunachal Pradesh
Kamle,Arunachal Pradesh
Kra Daadi,Arunachal Pradesh
Kurung Kumey,Arunachal Pradesh
Lepa-Rada,Arunachal Pradesh
Lohit,Arunachal Pradesh
Longding,Arunachal Pradesh
Lower Dibang Valley,Arunachal Pradesh
Lower Siang,Arunachal Pradesh
Lower Subansiri,Arunachal Pradesh
Namsai,Arunachal Pradesh
Pakke-Kessang,Arunachal Pradesh
Papum Pare,Arunachal Pradesh
Shi Yomi,Arunachal Pradesh
Siang,Arunachal Pradesh
Tawang,Arunachal Pradesh
Tirap,Arunachal Pradesh
Upper Dibang Valley,Arunachal Pradesh
Upper Siang,Arunachal Pradesh
Upper Subansiri,Arunachal Pradesh
West Kameng,Arunachal Pradesh
West Siang,Arunachal Pradesh
Baksa,Assam
Barpeta,Assam
Bishwanath,Assam
Bongaigaon,Assam
Cachar,Assam
Charaideo,Assam
Chirang,Assam
Darrang,Assam
Dhemaji,Assam
Dhubri,Assam
Dibrugarh,Assam
Dima Hasao,Assam
Goalpara,Assam
Golaghat,Assam
Hailakandi,Assam
Hojai,Assam
Jorhat,Assam
Kamrup,Assam
Kamrup Metropolitan,Assam
Karbi Anglong,Assam
Karimganj,Assam
Kokrajhar,Assam
Lakhimpur,Assam
Majuli,Assam
Morigaon,Assam
Nagaon,Assam
Nalbari,Assam
Sivasagar,Assam
South Salmara,Assam
Sonitpur,Assam
Tinsukia,Assam
Udalguri,Assam
West Karbi Anglong,Assam
Baksa,Bihar
Barpeta,Bihar
Bishwanath,Bihar
Bongaigaon,Bihar
Cachar,Bihar
Charaideo,Bihar
Chirang,Bihar
Darrang,Bihar
Dhemaji,Bihar
Dhubri,Bihar
Dibrugarh,Bihar
Dima Hasao,Bihar
Goalpara,Bihar
Golaghat,Bihar
Hailakandi,Bihar
Hojai,Bihar
Jorhat,Bihar
Kamrup,Bihar
Kamrup Metropolitan,Bihar
Karbi Anglong,Bihar
Karimganj,Bihar
Kokrajhar,Bihar
Lakhimpur,Bihar
Majuli,Bihar
Morigaon,Bihar
Nagaon,Bihar
Nalbari,Bihar
Sivasagar,Bihar
South Salmara,Bihar
Sonitpur,Bihar
Tinsukia,Bihar
Udalguri,Bihar
West Karbi Anglong,Bihar
Balod,Chhattisgarh
Baloda Bazar,Chhattisgarh
Balrampur,Chhattisgarh
Bastar,Chhattisgarh
Bemetara,Chhattisgarh
Bijapur,Chhattisgarh
Bilaspur,Chhattisgarh
Dantewada,Chhattisgarh
Dhamtari,Chhattisgarh
Durg,Chhattisgarh
Gariaband,Chhattisgarh
Janjgir-Champa,Chhattisgarh
Jashpur,Chhattisgarh
Kabirdham,Chhattisgarh
Kanker,Chhattisgarh
Kondagaon,Chhattisgarh
Korba,Chhattisgarh
Korea,Chhattisgarh
Mahasamund,Chhattisgarh
Mungeli,Chhattisgarh
Narayanpur,Chhattisgarh
Raigarh,Chhattisgarh
Raipur,Chhattisgarh
Rajnandgaon,Chhattisgarh
Sukma,Chhattisgarh
Surajpur,Chhattisgarh
Surguja,Chhattisgarh
North Goa,Goa
South Goa,Goa
Ahmedabad,Gujarat
Amreli,Gujarat
Anand,Gujarat
Aravalli,Gujarat
Banaskantha,Gujarat
Bharuch,Gujarat
Bhavnagar,Gujarat
Botad,Gujarat
Chhota Udepur,Gujarat
Dahod,Gujarat
Dang,Gujarat
Devbhoomi Dwarka,Gujarat
Gandhinagar,Gujarat
Gir Somnath,Gujarat
Jamnagar,Gujarat
Junagadh,Gujarat
Kheda,Gujarat
Kutch,Gujarat
Mahisagar,Gujarat
Mehsana,Gujarat
Morbi,Gujarat
Narmada,Gujarat
Navsari,Gujarat
Panchmahal,Gujarat
Patan,Gujarat
Porbandar,Gujarat
Rajkot,Gujarat
Sabarkantha,Gujarat
Surat,Gujarat
Surendranagar,Gujarat
Tapi,Gujarat
Vadodara,Gujarat
Valsad,Gujarat
Ambala,Haryana
Bhiwani,Haryana
Charkhi Dadri,Haryana
Faridabad,Haryana
Fatehabad,Haryana
Gurugram,Haryana
Hissar,Haryana
Jhajjar,Haryana
Jind,Haryana
Kaithal,Haryana
Karnal,Haryana
Kurukshetra,Haryana
Mahendragarh,Haryana
Nuh,Haryana
Palwal,Haryana
Panchkula,Haryana
Panipat,Haryana
Rewari,Haryana
Rohtak,Haryana
Sirsa,Haryana
Sonipat,Haryana
Yamuna Nagar,Haryana
Bilaspur,Himachal Pradesh
Chamba,Himachal Pradesh
Hamirpur,Himachal Pradesh
Kangra,Himachal Pradesh
Kinnaur,Himachal Pradesh
Kullu,Himachal Pradesh
Lahaul and Spiti,Himachal Pradesh
Mandi,Himachal Pradesh
Shimla,Himachal Pradesh
Sirmaur,Himachal Pradesh
Solan,Himachal Pradesh
Una,Himachal Pradesh
Anantnag,Jammu and Kashmir
Bandipora,Jammu and Kashmir
Baramulla,Jammu and Kashmir
Badgam,Jammu and Kashmir
Doda,Jammu and Kashmir
Ganderbal,Jammu and Kashmir
Jammu,Jammu and Kashmir
Kargil,Ladakh
Kathua,Jammu and Kashmir
Kishtwar,Jammu and Kashmir
Kulgam,Jammu and Kashmir
Kupwara,Jammu and Kashmir
Leh,Ladakh
Poonch,Jammu and Kashmir
Pulwama,Jammu and Kashmir
Rajouri,Jammu and Kashmir
Ramban,Jammu and Kashmir
Reasi,Jammu and Kashmir
Samba,Jammu and Kashmir
Shopian,Jammu and Kashmir
Srinagar,Jammu and Kashmir
Udhampur,Jammu and Kashmir
Bokaro,Jharkhand
Chatra,Jharkhand
Deoghar,Jharkhand
Dhanbad,Jharkhand
Dumka,Jharkhand
East Singhbhum,Jharkhand
Garhwa,Jharkhand
Giridih,Jharkhand
Godda,Jharkhand
Gumla,Jharkhand
Hazaribag,Jharkhand
Jamtara,Jharkhand
Khunti,Jharkhand
Koderma,Jharkhand
Latehar,Jharkhand
Lohardaga,Jharkhand
Pakur,Jharkhand
Palamu,Jharkhand
Ramgarh,Jharkhand
Ranchi,Jharkhand
Sahibganj,Jharkhand
Seraikela Kharsawan,Jharkhand
Simdega,Jharkhand
West Singhbhum,Jharkhand
Bagalkot,Karnataka
Ballari,Karnataka
Belagavi,Karnataka
Bengaluru Rural,Karnataka
Bengaluru Urban,Karnataka
Bidar,Karnataka
Chamarajnagar,Karnataka
Chikkaballapur,Karnataka
Chikkamagaluru,Karnataka
Chitradurga,Karnataka
Dakshina Kannada,Karnataka
Davanagere,Karnataka
Dharwad,Karnataka
Gadag,Karnataka
Hassan,Karnataka
Haveri,Karnataka
Kalaburagi,Karnataka
Kodagu,Karnataka
Kolar,Karnataka
Koppal,Karnataka
Mandya,Karnataka
Mysuru,Karnataka
Raichur,Karnataka
Ramanagara,Karnataka
Shivamogga,Karnataka
Tumakuru,Karnataka
Udupi,Karnataka
Uttara Kannada,Karnataka
Vijayapura,Karnataka
Yadgir,Karnataka
Alappuzha,Kerala
Ernakulam,Kerala
Idukki,Kerala
Kannur,Kerala
Kasaragod,Kerala
Kollam,Kerala
Kottayam,Kerala
Kozhikode,Kerala
Malappuram,Kerala
Palakkad,Kerala
Pathanamthitta,Kerala
Thrissur,Kerala
Thiruvananthapuram,Kerala
Wayanad,Kerala
Agar Malwa,Madhya Pradesh
Alirajpur,Madhya Pradesh
Anuppur,Madhya Pradesh
Ashok Nagar,Madhya Pradesh
Balaghat,Madhya Pradesh
Barwani,Madhya Pradesh
Betul,Madhya Pradesh
Bhind,Madhya Pradesh
Bhopal,Madhya Pradesh
Burhanpur,Madhya Pradesh
Chhatarpur,Madhya Pradesh
Chhindwara,Madhya Pradesh
Damoh,Madhya Pradesh
Datia,Madhya Pradesh
Dewas,Madhya Pradesh
Dhar,Madhya Pradesh
Dindori,Madhya Pradesh
Guna,Madhya Pradesh
Gwalior,Madhya Pradesh
Harda,Madhya Pradesh
Hoshangabad,Madhya Pradesh
Indore,Madhya Pradesh
Jabalpur,Madhya Pradesh
Jhabua,Madhya Pradesh
Katni,Madhya Pradesh
Khandwa,Madhya Pradesh
Khargone,Madhya Pradesh
Mandla,Madhya Pradesh
Mandsaur,Madhya Pradesh
Morena,Madhya Pradesh
Narsinghpur,Madhya Pradesh
Neemuch,Madhya Pradesh
Niwari,Madhya Pradesh
Panna,Madhya Pradesh
Raisen,Madhya Pradesh
Rajgarh,Madhya Pradesh
Ratlam,Madhya Pradesh
Rewa,Madhya Pradesh
Sagar,Madhya Pradesh
Satna,Madhya Pradesh
Sehore,Madhya Pradesh
Seoni,Madhya Pradesh
Shahdol,Madhya Pradesh
Shajapur,Madhya Pradesh
Sheopur,Madhya Pradesh
Shivpuri,Madhya Pradesh
Sidhi,Madhya Pradesh
Singrauli,Madhya Pradesh
Tikamgarh,Madhya Pradesh
Ujjain,Madhya Pradesh
Umaria,Madhya Pradesh
Vidisha,Madhya Pradesh
Ahmednagar,Maharashtra
Akola,Maharashtra
Amravati,Maharashtra
Aurangabad,Maharashtra
Beed,Maharashtra
Bhandara,Maharashtra
Buldhana,Maharashtra
Chandrapur,Maharashtra
Dhule,Maharashtra
Gadchiroli,Maharashtra
Gondia,Maharashtra
Hingoli,Maharashtra
Jalgaon,Maharashtra
Jalna,Maharashtra
Kolhapur,Maharashtra
Latur,Maharashtra
Mumbai City,Maharashtra
Mumbai suburban,Maharashtra
Nanded,Maharashtra
Nandurbar,Maharashtra
Nagpur,Maharashtra
Nashik,Maharashtra
Osmanabad,Maharashtra
Palghar,Maharashtra
Parbhani,Maharashtra
Pune,Maharashtra
Raigad,Maharashtra
Ratnagiri,Maharashtra
Sangli,Maharashtra
Satara,Maharashtra
Sindhudurg,Maharashtra
Solapur,Maharashtra
Thane,Maharashtra
Wardha,Maharashtra
Washim,Maharashtra
Yavatmal,Maharashtra
Bishnupur,Manipur
Chandel,Manipur
Churachandpur,Manipur
Imphal East,Manipur
Imphal West,Manipur
Jiribam,Manipur
Kakching,Manipur
Kamjong,Manipur
Kangpokpi,Manipur
Noney,Manipur
Pherzawl,Manipur
Senapati,Manipur
Tamenglong,Manipur
Tengnoupal,Manipur
Thoubal,Manipur
Ukhrul,Manipur
East Garo Hills,Meghalaya
East Khasi Hills,Meghalaya
East Jaintia Hills,Meghalaya
North Garo Hills,Meghalaya
Ri Bhoi,Meghalaya
South Garo Hills,Meghalaya
South West Garo Hills,Meghalaya
South West Khasi Hills,Meghalaya
West Jaintia Hills,Meghalaya
West Garo Hills,Meghalaya
West Khasi Hills,Meghalaya
Aizawl,Mizoram
Champhai,Mizoram
Kolasib,Mizoram
Lawngtlai,Mizoram
Lunglei,Mizoram
Mamit,Mizoram
Saiha,Mizoram
Serchhip,Mizoram
Aizawl,Nagaland
Champhai,Nagaland
Kolasib,Nagaland
Lawngtlai,Nagaland
Lunglei,Nagaland
Mamit,Nagaland
Saiha,Nagaland
Serchhip,Nagaland
Angul,Odisha
Boudh,Odisha
Bhadrak,Odisha
Balangir,Odisha
Bargarh,Odisha
Balasore,Odisha
Cuttack,Odisha
Debagarh,Odisha
Dhenkanal,Odisha
Ganjam,Odisha
Gajapati,Odisha
Jharsuguda,Odisha
Jajpur,Odisha
Jagatsinghpur,Odisha
Khordha,Odisha
Kendujhar,Odisha
Kalahandi,Odisha
Kandhamal,Odisha
Koraput,Odisha
Kendrapara,Odisha
Malkangiri,Odisha
Mayurbhanj,Odisha
Nabarangpur,Odisha
Nuapada,Odisha
Nayagarh,Odisha
Puri,Odisha
Rayagada,Odisha
Sambalpur,Odisha
Subarnapur,Odisha
Sundargarh,Odisha
Amritsar,Punjab
Barnala,Punjab
Bathinda,Punjab
Firozpur,Punjab
Faridkot,Punjab
Fatehgarh Sahib,Punjab
Fazilka,Punjab
Gurdaspur,Punjab
Hoshiarpur,Punjab
Jalandhar,Punjab
Kapurthala,Punjab
Ludhiana,Punjab
Mansa,Punjab
Moga,Punjab
Sri Muktsar Sahib,Punjab
Pathankot,Punjab
Patiala,Punjab
Rupnagar,Punjab
Sahibzada Ajit Singh Nagar,Punjab
Sangrur,Punjab
Shahid Bhagat Singh Nagar,Punjab
Tarn Taran,Punjab
Ajmer,Rajasthan
Alwar,Rajasthan
Bikaner,Rajasthan
Barmer,Rajasthan
Banswara,Rajasthan
Bharatpur,Rajasthan
Baran,Rajasthan
Bundi,Rajasthan
Bhilwara,Rajasthan
Churu,Rajasthan
Chittorgarh,Rajasthan
Dausa,Rajasthan
Dholpur,Rajasthan
Dungarpur,Rajasthan
Ganganagar,Rajasthan
Hanumangarh,Rajasthan
Jhunjhunu,Rajasthan
Jalore,Rajasthan
Jodhpur,Rajasthan
Jaipur,Rajasthan
Jaisalmer,Rajasthan
Jhalawar,Rajasthan
Karauli,Rajasthan
